symbol,entrez,BRO-score (product),BRO-score (ABA6-2013),BRO-score (Kang-2011),cell-cell signaling,synaptic transmission,neuron differentiation,neuron projection development,generation of neurons,axon development,neuron development
RGS4,5999,0.488049,0.652636,0.747812,,,,,,,
FAM81A,145773,0.467158,0.724352,0.644932,,,,,,,
ENC1,8507,0.438252,0.691819,0.633477,,,X,X,X,,X
CREG2,200407,0.436582,0.700807,0.622971,,,,,,,
SATB2,23314,0.435,0.581062,0.74863,,,X,,X,,
NGEF,25791,0.417675,0.651168,0.641425,,,X,X,X,,X
LDB2,9079,0.415324,0.657162,0.631997,,,,,,,
RASGRF2,5924,0.415122,0.626391,0.66272,X,X,,,,,
FEZF2,55079,0.410485,0.636486,0.644924,,,X,X,X,X,X
EXTL1,2134,0.4058,0.668326,0.607189,,,,,,,
CCK,885,0.40563,0.672092,0.603533,,,X,X,X,X,X
CAMK2A,815,0.399536,0.620745,0.643639,X,X,,,,,
ANO3,63982,0.399186,0.684272,0.583373,,,,,,,
GDA,9615,0.394271,0.650489,0.606115,,,,,,,
HTR2A,3356,0.38662,0.611042,0.632723,X,X,,,,,
NRGN,4900,0.3803,0.708312,0.536911,,,,,,,
TMEM155,132332,0.380025,0.63148,0.601801,,,,,,,
NEUROD1,4760,0.37873,0.659758,0.574044,X,,X,,X,,
HTR4,3360,0.378619,0.626903,0.603951,X,X,,,,,
KALRN,8997,0.37535,0.609181,0.616155,,,X,X,X,X,X
C1orf115,79762,0.374453,0.572822,0.653698,,,,,,,
LZTS1,11178,0.373853,0.693134,0.539366,X,X,X,X,X,,X
LMO4,8543,0.372981,0.555422,0.671527,,,X,,X,,
CHN1,1123,0.36753,0.609439,0.603062,,,X,X,X,X,X
LHX2,9355,0.367518,0.685657,0.536008,,,X,X,X,X,X
PLK2,10769,0.366704,0.67207,0.545633,X,X,X,X,X,,X
CPNE5,57699,0.365982,0.59572,0.614353,,,,,,,
CDH9,1007,0.359851,0.64221,0.560333,,,,,,,
LRRC8B,23507,0.359211,0.578198,0.62126,,,,,,,
PDE2A,5138,0.358873,0.693773,0.517278,,,,,,,
KCNQ5,56479,0.358338,0.61034,0.587111,X,X,,,,,
SLC30A3,7781,0.356633,0.622532,0.572875,,,,,,,
KCNT2,343450,0.356097,0.585124,0.608583,,,,,,,
