Gene ID,Symbol,Name
2048,EPHB2,EPH receptor B2
2049,EPHB3,EPH receptor B3
4099,MAG,myelin associated glycoprotein
6152,RPL24,ribosomal protein L24
285704,RGMB,repulsive guidance molecule family member b
23566,LPAR3,lysophosphatidic acid receptor 3
2064,ERBB2,erb-b2 receptor tyrosine kinase 2
9241,NOG,noggin
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
4131,MAP1B,microtubule-associated protein 1B
7204,TRIO,trio Rho guanine nucleotide exchange factor
9252,RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5"
9253,NUMBL,numb homolog (Drosophila)-like
4133,MAP2,microtubule-associated protein 2
3110,MNX1,motor neuron and pancreas homeobox 1
4137,MAPT,microtubule-associated protein tau
43,ACHE,acetylcholinesterase (Yt blood group)
8239,USP9X,"ubiquitin specific peptidase 9, X-linked"
1072,CFL1,cofilin 1 (non-muscle)
4147,MATN2,matrilin 2
6195,RPS6KA1,"ribosomal protein S6 kinase, 90kDa, polypeptide 1"
6196,RPS6KA2,"ribosomal protein S6 kinase, 90kDa, polypeptide 2"
7220,TRPC1,"transient receptor potential cation channel, subfamily C, member 1"
6197,RPS6KA3,"ribosomal protein S6 kinase, 90kDa, polypeptide 3"
7222,TRPC3,"transient receptor potential cation channel, subfamily C, member 3"
7223,TRPC4,"transient receptor potential cation channel, subfamily C, member 4"
7224,TRPC5,"transient receptor potential cation channel, subfamily C, member 5"
7225,TRPC6,"transient receptor potential cation channel, subfamily C, member 6"
4155,MBP,myelin basic protein
60,ACTB,"actin, beta"
51265,CDKL3,cyclin-dependent kinase-like 3
2115,ETV1,ets variant 1
2118,ETV4,ets variant 4
71,ACTG1,actin gamma 1
11343,MGLL,monoglyceride lipase
11344,TWF2,twinfilin actin binding protein 2
2131,EXT1,exostosin glycosyltransferase 1
53335,BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein)
6237,RRAS,related RAS viral (r-ras) oncogene homolog
1123,CHN1,chimerin 1
9315,NREP,neuronal regeneration related protein
51299,NRN1,neuritin 1
23654,PLXNB2,plexin B2
57451,TENM2,teneurin transmembrane protein 2
107,ADCY1,adenylate cyclase 1 (brain)
57453,DSCAML1,Down syndrome cell adhesion molecule like 1
8301,PICALM,phosphatidylinositol binding clathrin assembly protein
114798,SLITRK1,"SLIT and NTRK-like family, member 1"
6259,RYK,receptor-like tyrosine kinase
1141,CHRNB2,"cholinergic receptor, nicotinic, beta 2 (neuronal)"
57463,AMIGO1,adhesion molecule with Ig-like domain 1
4218,RAB8A,"RAB8A, member RAS oncogene family"
3198,HOXA1,homeobox A1
3199,HOXA2,homeobox A2
8321,FZD1,frizzled class receptor 1
51330,TNFRSF12A,"tumor necrosis factor receptor superfamily, member 12A"
10371,SEMA3A,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
8323,FZD6,frizzled class receptor 6
8324,FZD7,frizzled class receptor 7
51332,SPTBN5,"spectrin, beta, non-erythrocytic 5"
6277,S100A6,S100 calcium binding protein A6
8325,FZD8,frizzled class receptor 8
390275,OR8A1,"olfactory receptor, family 8, subfamily A, member 1"
90249,UNC5A,unc-5 homolog A (C. elegans)
4233,MET,"MET proto-oncogene, receptor tyrosine kinase"
7305,TYROBP,TYRO protein tyrosine kinase binding protein
9353,SLIT2,slit homolog 2 (Drosophila)
123016,TTC8,tetratricopeptide repeat domain 8
9355,LHX2,LIM homeobox 2
10381,TUBB3,"tubulin, beta 3 class III"
6285,S100B,S100 calcium binding protein B
54413,NLGN3,neuroligin 3
1173,AP2M1,"adaptor-related protein complex 2, mu 1 subunit"
1175,AP2S1,"adaptor-related protein complex 2, sigma 1 subunit"
9369,NRXN3,neurexin 3
10398,MYL9,"myosin, light chain 9, regulatory"
80031,SEMA6D,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"
79006,METRN,"meteorin, glial cell differentiation regulator"
160,AP2A1,"adaptor-related protein complex 2, alpha 1 subunit"
161,AP2A2,"adaptor-related protein complex 2, alpha 2 subunit"
9378,NRXN1,neurexin 1
54434,SSH1,slingshot protein phosphatase 1
163,AP2B1,"adaptor-related protein complex 2, beta 1 subunit"
374946,DRAXIN,dorsal inhibitory axon guidance protein
7345,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
10417,SPON2,"spondin 2, extracellular matrix protein"
57522,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1
6324,SCN1B,"sodium channel, voltage gated, type I beta subunit"
4282,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
5306,PITPNA,"phosphatidylinositol transfer protein, alpha"
