Gene ID,Symbol,Name
2048,EPHB2,EPH receptor B2
2049,EPHB3,EPH receptor B3
10242,KCNMB2,potassium channel subfamily M regulatory beta subunit 2
2051,EPHB6,EPH receptor B6
2055,CLN8,"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)"
8200,GDF5,growth differentiation factor 5
339983,NAT8L,"N-acetyltransferase 8-like (GCN5-related, putative)"
10252,SPRY1,"sprouty homolog 1, antagonist of FGF signaling (Drosophila)"
18,ABAT,4-aminobutyrate aminotransferase
2066,ERBB4,erb-b2 receptor tyrosine kinase 4
2069,EREG,epiregulin
83988,NCALD,neurocalcin delta
51222,ZNF219,zinc finger protein 219
90134,KCNH7,"potassium channel, voltage gated eag related subfamily H, member 7"
57369,GJD2,"gap junction protein, delta 2, 36kDa"
94235,GNG8,"guanine nucleotide binding protein (G protein), gamma 8"
131096,KCNH8,"potassium channel, voltage gated eag related subfamily H, member 8"
55327,LIN7C,lin-7 homolog C (C. elegans)
8224,SYN3,synapsin III
4128,MAOA,monoamine oxidase A
4129,MAOB,monoamine oxidase B
55330,BLOC1S4,"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino"
40,ASIC2,acid sensing (proton gated) ion channel 2
41,ASIC1,acid sensing (proton gated) ion channel 1
43,ACHE,acetylcholinesterase (Yt blood group)
51247,PAIP2,poly(A) binding protein interacting protein 2
10288,LILRB2,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
204851,HIPK1,homeodomain interacting protein kinase 1
57393,TMEM27,transmembrane protein 27
6195,RPS6KA1,"ribosomal protein S6 kinase, 90kDa, polypeptide 1"
2100,ESR2,estrogen receptor 2 (ER beta)
6196,RPS6KA2,"ribosomal protein S6 kinase, 90kDa, polypeptide 2"
6197,RPS6KA3,"ribosomal protein S6 kinase, 90kDa, polypeptide 3"
4155,MBP,myelin basic protein
120892,LRRK2,leucine-rich repeat kinase 2
57406,ABHD6,abhydrolase domain containing 6
4160,MC4R,melanocortin 4 receptor
143425,SYT9,synaptotagmin IX
55366,LGR4,leucine-rich repeat containing G protein-coupled receptor 4
2119,ETV5,ets variant 5
10316,NMUR1,neuromedin U receptor 1
79953,SYNDIG1,synapse differentiation inducing 1
88,ACTN2,"actinin, alpha 2"
92,ACVR2A,"activin A receptor, type IIA"
30812,SOX8,SRY (sex determining region Y)-box 8
114781,BTBD9,BTB (POZ) domain containing 9
93,ACVR2B,"activin A receptor, type IIB"
6237,RRAS,related RAS viral (r-ras) oncogene homolog
84062,DTNBP1,dystrobrevin binding protein 1
4193,MDM2,"MDM2 proto-oncogene, E3 ubiquitin protein ligase"
30819,KCNIP2,Kv channel interacting protein 2
8292,COLQ,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
30820,KCNIP1,Kv channel interacting protein 1
102,ADAM10,ADAM metallopeptidase domain 10
10344,CCL26,chemokine (C-C motif) ligand 26
84073,MYCBPAP,MYCBP associated protein
116841,SNAP47,"synaptosomal-associated protein, 47kDa"
51305,KCNK9,"potassium channel, two pore domain subfamily K, member 9"
107,ADCY1,adenylate cyclase 1 (brain)
131177,FAM3D,"family with sequence similarity 3, member D"
108,ADCY2,adenylate cyclase 2 (brain)
4204,MECP2,methyl CpG binding protein 2
109,ADCY3,adenylate cyclase 3
8301,PICALM,phosphatidylinositol binding clathrin assembly protein
53358,SHC3,SHC (Src homology 2 domain containing) transforming protein 3
111,ADCY5,adenylate cyclase 5
112,ADCY6,adenylate cyclase 6
4208,MEF2C,myocyte enhancer factor 2C
113,ADCY7,adenylate cyclase 7
114,ADCY8,adenylate cyclase 8 (brain)
112755,STX1B,syntaxin 1B
115,ADCY9,adenylate cyclase 9
90226,UCN2,urocortin 2
116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary)
6262,RYR2,ryanodine receptor 2 (cardiac)
4218,RAB8A,"RAB8A, member RAS oncogene family"
57468,SLC12A5,"solute carrier family 12 (potassium/chloride transporter), member 5"
55423,SIRPG,signal-regulatory protein gamma
10368,CACNG3,"calcium channel, voltage-dependent, gamma subunit 3"
8321,FZD1,frizzled class receptor 1
10369,CACNG2,"calcium channel, voltage-dependent, gamma subunit 2"
8322,FZD4,frizzled class receptor 4
133,ADM,adrenomedullin
134,ADORA1,adenosine A1 receptor
135,ADORA2A,adenosine A2a receptor
6280,S100A9,S100 calcium binding protein A9
2185,PTK2B,protein tyrosine kinase 2 beta
4233,MET,"MET proto-oncogene, receptor tyrosine kinase"
140,ADORA3,adenosine A3 receptor
6285,S100B,S100 calcium binding protein B
146,ADRA1D,adrenoceptor alpha 1D
147,ADRA1B,adrenoceptor alpha 1B
2195,FAT1,FAT atypical cadherin 1
148,ADRA1A,adrenoceptor alpha 1A
