Gene ID,Symbol,Name
2048,EPHB2,EPH receptor B2
2049,EPHB3,EPH receptor B3
4099,MAG,myelin associated glycoprotein
2055,CLN8,"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)"
2056,EPO,erythropoietin
6152,RPL24,ribosomal protein L24
8200,GDF5,growth differentiation factor 5
124936,CYB5D2,cytochrome b5 domain containing 2
2063,NR2F6,"nuclear receptor subfamily 2, group F, member 6"
2064,ERBB2,erb-b2 receptor tyrosine kinase 2
2066,ERBB4,erb-b2 receptor tyrosine kinase 4
2068,ERCC2,excision repair cross-complementation group 2
342035,GLDN,gliomedin
2071,ERCC3,excision repair cross-complementation group 3
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
10265,IRX5,iroquois homeobox 5
27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
118813,ZFYVE27,"zinc finger, FYVE domain containing 27"
55330,BLOC1S4,"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino"
4131,MAP1B,microtubule-associated protein 1B
4133,MAP2,microtubule-associated protein 2
10277,UBE4B,ubiquitination factor E4B
4135,MAP6,microtubule-associated protein 6
4137,MAPT,microtubule-associated protein tau
43,ACHE,acetylcholinesterase (Yt blood group)
8239,USP9X,"ubiquitin specific peptidase 9, X-linked"
204851,HIPK1,homeodomain interacting protein kinase 1
4147,MATN2,matrilin 2
6195,RPS6KA1,"ribosomal protein S6 kinase, 90kDa, polypeptide 1"
6196,RPS6KA2,"ribosomal protein S6 kinase, 90kDa, polypeptide 2"
6197,RPS6KA3,"ribosomal protein S6 kinase, 90kDa, polypeptide 3"
90167,FRMD7,FERM domain containing 7
79929,MAP6D1,MAP6 domain containing 1
4155,MBP,myelin basic protein
60,ACTB,"actin, beta"
10300,KATNB1,katanin p80 (WD repeat containing) subunit B 1
120892,LRRK2,leucine-rich repeat kinase 2
51265,CDKL3,cyclin-dependent kinase-like 3
2115,ETV1,ets variant 1
2118,ETV4,ets variant 4
71,ACTG1,actin gamma 1
2119,ETV5,ets variant 5
4168,MCF2,MCF.2 cell line derived transforming sequence
2128,EVX1,even-skipped homeobox 1
389207,GRXCR1,"glutaredoxin, cysteine rich 1"
2131,EXT1,exostosin glycosyltransferase 1
112724,RDH13,retinol dehydrogenase 13 (all-trans/9-cis)
51286,CEND1,cell cycle exit and neuronal differentiation 1
53335,BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein)
2138,EYA1,EYA transcriptional coactivator and phosphatase 1
84059,ADGRV1,adhesion G protein-coupled receptor V1
30812,SOX8,SRY (sex determining region Y)-box 8
6237,RRAS,related RAS viral (r-ras) oncogene homolog
30813,VSX1,visual system homeobox 1
51294,PCDH12,protocadherin 12
84062,DTNBP1,dystrobrevin binding protein 1
79969,ATAT1,alpha tubulin acetyltransferase 1
114787,GPRIN1,G protein regulated inducer of neurite outgrowth 1
51299,NRN1,neuritin 1
30819,KCNIP2,Kv channel interacting protein 2
107,ADCY1,adenylate cyclase 1 (brain)
57451,TENM2,teneurin transmembrane protein 2
4204,MECP2,methyl CpG binding protein 2
6252,RTN1,reticulon 1
4205,MEF2A,myocyte enhancer factor 2A
8301,PICALM,phosphatidylinositol binding clathrin assembly protein
57453,DSCAML1,Down syndrome cell adhesion molecule like 1
114798,SLITRK1,"SLIT and NTRK-like family, member 1"
4208,MEF2C,myocyte enhancer factor 2C
112,ADCY6,adenylate cyclase 6
6258,RXRG,"retinoid X receptor, gamma"
6259,RYK,receptor-like tyrosine kinase
116,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary)
79989,TTC26,tetratricopeptide repeat domain 26
57463,AMIGO1,adhesion molecule with Ig-like domain 1
8312,AXIN1,axin 1
57465,TBC1D24,"TBC1 domain family, member 24"
4218,RAB8A,"RAB8A, member RAS oncogene family"
10362,HMG20B,high mobility group 20B
10363,HMG20A,high mobility group 20A
8320,EOMES,eomesodermin
8321,FZD1,frizzled class receptor 1
8322,FZD4,frizzled class receptor 4
51330,TNFRSF12A,"tumor necrosis factor receptor superfamily, member 12A"
8323,FZD6,frizzled class receptor 6
10371,SEMA3A,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
8324,FZD7,frizzled class receptor 7
51332,SPTBN5,"spectrin, beta, non-erythrocytic 5"
133,ADM,adrenomedullin
8325,FZD8,frizzled class receptor 8
6277,S100A6,S100 calcium binding protein A6
2182,ACSL4,acyl-CoA synthetase long-chain family member 4
135,ADORA2A,adenosine A2a receptor
51335,NGRN,"neugrin, neurite outgrowth associated"
90249,UNC5A,unc-5 homolog A (C. elegans)
2185,PTK2B,protein tyrosine kinase 2 beta
123016,TTC8,tetratricopeptide repeat domain 8
