Gene ID,Symbol,Name
267012,DAOA,D-amino acid oxidase activator
10752,CHL1,cell adhesion molecule L1-like
1281,COL3A1,collagen, type III, alpha 1
2561,GABRB2,gamma-aminobutyric acid (GABA) A receptor, beta 2
2563,GABRD,gamma-aminobutyric acid (GABA) A receptor, delta
9993,DGCR2,DiGeorge syndrome critical region gene 2
7434,VIPR2,vasoactive intestinal peptide receptor 2
2571,GAD1,glutamate decarboxylase 1 (brain, 67kDa)
3084,NRG1,neuregulin 1
2572,GAD2,glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
8204,NRIP1,nuclear receptor interacting protein 1
1806,DPYD,dihydropyrimidine dehydrogenase
11278,KLF12,Kruppel-like factor 12
6671,SP4,Sp4 transcription factor
338442,HCAR2,hydroxycarboxylic acid receptor 2
55824,PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1
5649,RELN,reelin
1812,DRD1,dopamine receptor D1
1813,DRD2,dopamine receptor D2
1814,DRD3,dopamine receptor D3
3094,HINT1,histidine triad nucleotide binding protein 1
5142,PDE4B,phosphodiesterase 4B, cAMP-specific
54806,AHI1,Abelson helper integration site 1
1815,DRD4,dopamine receptor D4
6426,SRSF1,serine/arginine-rich splicing factor 1
90139,TSPAN18,tetraspanin 18
339230,CCDC137,coiled-coil domain containing 137
3356,HTR2A,5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
8991,SELENBP1,selenium binding protein 1
1312,COMT,catechol-O-methyltransferase
4129,MAOB,monoamine oxidase B
3362,HTR6,5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled
3363,HTR7,5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled
4900,NRGN,neurogranin (protein kinase C substrate, RC3)
9508,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif, 3
551,AVP,arginine vasopressin
100329170,SCZD13,schizophrenia 13
23339,VPS39,vacuolar protein sorting 39 homolog (S. cerevisiae)
4908,NTF3,neurotrophin 3
816,CAMK2B,calcium/calmodulin-dependent protein kinase II beta
3632,INPP5A,inositol polyphosphate-5-phosphatase, 40kDa
27184,DISC2,disrupted in schizophrenia 2 (non-protein coding)
27185,DISC1,disrupted in schizophrenia 1
4914,NTRK1,neurotrophic tyrosine kinase, receptor, type 1
3123,HLA-DRB1,major histocompatibility complex, class II, DR beta 1
65078,RTN4R,reticulon 4 receptor
57142,RTN4,reticulon 4
4923,NTSR1,neurotensin receptor 1 (high affinity)
284217,LAMA1,laminin, alpha 1
10814,CPLX2,complexin 2
10815,CPLX1,complexin 1
220988,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
84547,PGBD1,piggyBac transposable element derived 1
3908,LAMA2,laminin, alpha 2
837,CASP4,caspase 4, apoptosis-related cysteine peptidase
22854,NTNG1,netrin G1
55366,LGR4,leucine-rich repeat containing G protein-coupled receptor 4
90952,ESAM,endothelial cell adhesion molecule
1610,DAO,D-amino-acid oxidase
1356,CP,ceruloplasmin (ferroxidase)
60493,FASTKD5,FAST kinase domains 5
2898,GRIK2,glutamate receptor, ionotropic, kainate 2
8787,RGS9,regulator of G-protein signaling 9
1108,CHD4,chromodomain helicase DNA binding protein 4
2901,GRIK5,glutamate receptor, ionotropic, kainate 5
641372,ACOT6,acyl-CoA thioesterase 6
2904,GRIN2B,glutamate receptor, ionotropic, N-methyl D-aspartate 2B
2906,GRIN2D,glutamate receptor, ionotropic, N-methyl D-aspartate 2D
2908,NR3C1,nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
348,APOE,apolipoprotein E
1116,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39)
9821,RB1CC1,RB1-inducible coiled-coil 1
8542,APOL1,apolipoprotein L, 1
84062,DTNBP1,dystrobrevin binding protein 1
2912,GRM2,glutamate receptor, metabotropic 2
2913,GRM3,glutamate receptor, metabotropic 3
146279,TEKT5,tektin 5
8806,SCZD8,schizophrenia disorder 8
259173,ALS2CL,ALS2 C-terminal like
8295,TRRAP,transformation/transcription domain-associated protein
91752,ZNF804A,zinc finger protein 804A
131177,FAM3D,family with sequence similarity 3, member D
5999,RGS4,regulator of G-protein signaling 4
113,ADCY7,adenylate cyclase 7
6002,RGS12,regulator of G-protein signaling 12
627,BDNF,brain-derived neurotrophic factor
2931,GSK3A,glycogen synthase kinase 3 alpha
2932,GSK3B,glycogen synthase kinase 3 beta
319100,TAAR6,trace amine associated receptor 6
4729,NDUFV2,NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa
22906,TRAK1,trafficking protein, kinesin binding 1
5245,PHB,prohibitin
255101,CCDC108,coiled-coil domain containing 108
