Gene ID,Symbol,Name
121601,ANO4,anoctamin 4
1793,DOCK1,dedicator of cytokinesis 1
55297,CCDC91,coiled-coil domain containing 91
5890,RAD51B,RAD51 paralog B
79875,THSD4,thrombospondin, type I, domain containing 4
27146,FAM184B,family with sequence similarity 184, member B
23307,FKBP15,FK506 binding protein 15, 133kDa
11278,KLF12,Kruppel-like factor 12
5137,PDE1C,phosphodiesterase 1C, calmodulin-dependent 70kDa
10257,ABCC4,ATP-binding cassette, sub-family C (CFTR/MRP), member 4
79632,FAM184A,family with sequence similarity 184, member A
143379,C10orf82,chromosome 10 open reading frame 82
9748,SLK,STE20-like kinase
1813,DRD2,dopamine receptor D2
84247,LDOC1L,leucine zipper, down-regulated in cancer 1-like
1565,CYP2D6,cytochrome P450, family 2, subfamily D, polypeptide 6
4897,NRCAM,neuronal cell adhesion molecule
1826,DSCAM,Down syndrome cell adhesion molecule
4646,MYO6,myosin VI
167465,ZNF366,zinc finger protein 366
23345,SYNE1,spectrin repeat containing, nuclear envelope 1
401207,C5orf63,chromosome 5 open reading frame 63
9271,PIWIL1,piwi-like RNA-mediated gene silencing 1
1080,CFTR,cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)
3899,AFF3,AF4/FMR2 family, member 3
3643,INSR,insulin receptor
2120,ETV6,ets variant 6
9547,CXCL14,chemokine (C-X-C motif) ligand 14
2893,GRIA4,glutamate receptor, ionotropic, AMPA 4
80206,FHOD3,formin homology 2 domain containing 3
2898,GRIK2,glutamate receptor, ionotropic, kainate 2
9557,CHD1L,chromodomain helicase DNA binding protein 1-like
253782,CERS6,ceramide synthase 6
7260,TSSC1,tumor suppressing subtransferable candidate 1
143458,LDLRAD3,low density lipoprotein receptor class A domain containing 3
64866,CDCP1,CUB domain containing protein 1
114786,XKR4,XK, Kell blood group complex subunit-related family, member 4
2915,GRM5,glutamate receptor, metabotropic 5
114788,CSMD3,CUB and Sushi multiple domains 3
2917,GRM7,glutamate receptor, metabotropic 7
105,ADARB2,adenosine deaminase, RNA-specific, B2 (non-functional)
1129,CHRM2,cholinergic receptor, muscarinic 2
91752,ZNF804A,zinc finger protein 804A
57451,TENM2,teneurin transmembrane protein 2
8048,CSRP3,cysteine and glycine-rich protein 3 (cardiac LIM protein)
1138,CHRNA5,cholinergic receptor, nicotinic, alpha 5 (neuronal)
1653,DDX1,DEAD (Asp-Glu-Ala-Asp) box helicase 1
2166,FAAH,fatty acid amide hydrolase
26230,TIAM2,T-cell lymphoma invasion and metastasis 2
4985,OPRD1,opioid receptor, delta 1
8569,MKNK1,MAP kinase interacting serine/threonine kinase 1
55930,MYO5C,myosin VC
4482,MSRA,methionine sulfoxide reductase A
64131,XYLT1,xylosyltransferase I
6532,SLC6A4,solute carrier family 6 (neurotransmitter transporter), member 4
57733,GBA3,glucosidase, beta, acid 3 (gene/pseudogene)
84871,AGBL4,ATP/GTP binding protein-like 4
79750,ZNF385D,zinc finger protein 385D
5768,QSOX1,quiescin Q6 sulfhydryl oxidase 1
140683,BPIFA2,BPI fold containing family A, member 2
51082,POLR1D,polymerase (RNA) I polypeptide D, 16kDa
81035,COLEC12,collectin sub-family member 12
55690,PACS1,phosphofurin acidic cluster sorting protein 1
55691,FRMD4A,FERM domain containing 4A
22925,PLA2R1,phospholipase A2 receptor 1, 180kDa
143503,OR51E1,olfactory receptor, family 51, subfamily E, member 1
3983,ABLIM1,actin binding LIM protein 1
54927,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3
259217,HSPA12A,heat shock 70kDa protein 12A
9369,NRXN3,neurexin 3
6555,SLC10A2,solute carrier family 10 (sodium/bile acid cotransporter), member 2
55198,APPL2,adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
80031,SEMA6D,sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
80034,CSRNP3,cysteine-serine-rich nuclear protein 3
55717,WDR11,WD repeat domain 11
9128,PRPF4,pre-mRNA processing factor 4
1962,EHHADH,enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase
23214,XPO6,exportin 6
10160,FARP1,FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
6581,SLC22A3,solute carrier family 22 (organic cation transporter), member 3
84668,FAM126A,family with sequence similarity 126, member A
55742,PARVA,parvin, alpha
140733,MACROD2,MACRO domain containing 2
29119,CTNNA3,catenin (cadherin-associated protein), alpha 3
79809,TTC21B,tetratricopeptide repeat domain 21B
65217,PCDH15,protocadherin-related 15
29126,CD274,CD274 molecule
51660,MPC1,mitochondrial pyruvate carrier 1
5581,PRKCE,protein kinase C, epsilon
5583,PRKCH,protein kinase C, eta
51151,SLC45A2,solute carrier family 45, member 2
25807,RHBDD3,rhomboid domain containing 3
22998,LIMCH1,LIM and calponin homology domains 1
114134,SLC2A13,solute carrier family 2 (facilitated glucose transporter), member 13
8412,BCAR3,breast cancer anti-estrogen resistance 3
80095,ZNF606,zinc finger protein 606
64478,CSMD1,CUB and Sushi multiple domains 1
10207,INADL,InaD-like (Drosophila)
5087,PBX1,pre-B-cell leukemia homeobox 1
2272,FHIT,fragile histidine triad
344805,TMPRSS7,transmembrane protease, serine 7
481,ATP1B1,ATPase, Na+/K+ transporting, beta 1 polypeptide
93664,CADPS2,Ca++-dependent secretion activator 2
29922,NME7,NME/NM23 family member 7
83938,C10orf11,chromosome 10 open reading frame 11
147685,C19orf18,chromosome 19 open reading frame 18
1769,DNAH8,dynein, axonemal, heavy chain 8
1268,CNR1,cannabinoid receptor 1 (brain)
1012,CDH13,cadherin 13
4852,NPY,neuropeptide Y
5366,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
143098,MPP7,membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
9465,AKAP7,A kinase (PRKA) anchor protein 7
23034,SAMD4A,sterile alpha motif domain containing 4A
