"MGI.symbol" "WikiGene.NaNme" "EntrezGene.ID" "HGNC.symbol" "EntrezGene.ID.1"
"1" "Celf4" "Celf4" 108013 "CELF4" 56853
"2" "Fbxo7" "Fbxo7" 69754 "FBXO7" 25793
"3" "Mctp1" "Mctp1" 78771 "MCTP1" 79772
"4" "Coro1a" "Coro1a" 12721 "CORO1A" 11151
"5" "Sostdc1" "Sostdc1" 66042 "SOSTDC1" 25928
"6" "Gpr6" "Gpr6" 140741 "GPR6" 2830
"7" "Grp" "Grp" 225642 "GRP" 2922
"8" "Sema3a" "Sema3a" 20346 "SEMA3A" 10371
"9" "Slc2a3" "Slc2a3" 20527 "SLC2A14" 144195
"10" "Clstn2" "Clstn2" 64085 "CLSTN2" 64084
"11" "Lmo3" "Lmo3" 109593 "LMO3" 55885
"12" "Nsg2" "Nsg2" 18197 "" 51617
"13" "Tac2" "Tac2" 21334 "TAC3" 6866
"14" "Ddn" "Ddn" 13199 "DDN" 23109
"15" "Syp" "Syp" 20977 "SYP" 6855
"16" "Ramp3" "Ramp3" 56089 "RAMP3" 10268
"17" "Syt4" "Syt4" 20983 "SYT4" 6860
"18" "Ccbe1" "Ccbe1" 320924 "CCBE1" 147372
"19" "Adcy1" "Adcy1" 432530 "ADCY1" 107
"20" "NaNpb" "NaNpb" 17957 "NaNPB" 63908
"21" "Nptxr" "Nptxr" 73340 "NPTXR" 23467
"22" "Nptxr" "Npcd" 73340 "NPTXR" 23467
"23" "Npr3" "Npr3" 18162 "NPR3" 4883
"24" "D10Bwg1379e" "D10Bwg1379e" 215821 "KIAA1244" 57221
"25" "Neto1" "Neto1" 246317 "NETO1" 81832
"26" "Kcna4" "Kcna4" 16492 "KCNaN4" 3739
"27" "St8sia2" "St8sia2" 20450 "ST8SIA2" 8128
"28" "Icam5" "Icam5" 15898 "ICAM5" 7087
"29" "Cacna2d3" "Cacna2d3" 12294 "CACNaN2D3" 55799
"30" "Ppfia2" "Ppfia2" 327814 "PPFIA2" 8499
"31" "Ckmt1" "Ckmt1" 12716 "CKMT1B" 1159
"32" "Ckmt1" "Ckmt1" 12716 "CKMT1B" 548596
"33" "Sv2b" "Sv2b" 64176 "SV2B" 9899
"34" "Slc2a3" "Slc2a3" 20527 "SLC2A3" 6515
"35" "Htr1b" "Htr1b" 15551 "HTR1B" 3351
"36" "Fgf9" "Fgf9" 14180 "FGF9" 2254
"37" "Snrpn" "Snrpn" 20646 "SNRPN" 6638
"38" "Snrpn" "Snrpn" 20646 "SNRPN" 8926
"39" "C1qtnf4" "C1qtnf4" 67445 "C1QTNF4" 114900
"40" "Npas4" "Npas4" 225872 "NPAS4" 266743
"41" "Nts" "Nts" 67405 "NTS" 4922
"42" "Sept6" "Sept6" 56526 "SEPT6" 23157
"43" "Nell1" "Nell1" 338352 "NELL1" 4745
"44" "Ttr" "Ttr" 22139 "TTR" 7276
"45" "Pcp4" "Pcp4" 18546 "PCP4" 5121
"46" "Cdh9" "Cdh9" 12565 "CDH9" 1007
"47" "Cxadr" "Cxadr" 13052 "CXADR" 1525
"48" "Gpr88" "Gpr88" 64378 "GPR88" 54112
"49" "Tubb3" "Tubb3" 22152 "" 10381
"50" "Camk4" "Camk4" 12326 "CAMK4" 814
"51" "Gpr12" "Gpr12" 14738 "GPR12" 2835
"52" "Foxp1" "Foxp1" 108655 "FOXP1" 27086
"53" "Dync1i1" "Dync1i1" 13426 "DYNC1I1" 1780
"54" "Cdc42" "Cdc42" 12540 "CDC42" 998
"55" "Scn2b" "Scn2b" 72821 "SCN2B" 6327
"56" "Ntf3" "Ntf3" 18205 "NTF3" 4908
"57" "Slc7a14" "Slc7a14" 241919 "SLC7A14" 57709
"58" "Ttc9" "Ttc9" 69480 "TTC9" 23508
"59" "Stx1a" "Stx1a" 20907 "STX1A" 6804
"60" "Slc6a15" "Slc6a15" 103098 "SLC6A15" 55117
"61" "Synpr" "Synpr" 72003 "SYNPR" 132204
"62" "Slc8a1" "Slc8a1" 20541 "SLC8A1" 6546
"63" "Kcnab1" "Kcnab1" 16497 "KCNaNB1" 7881
"64" "Lin7b" "Lin7b" 22342 "LIN7B" 64130
"65" "Tmem130" "Tmem130" 243339 "TMEM130" 222865
"66" "Gda" "Gda" 14544 "GDA" 9615
"67" "Myo5b" "Myo5b" 17919 "MYO5B" 4645
"68" "Pcdha1" "Pcdha4" 116731 "PCDHAC2" 56134
"69" "Pcdha1" "Pcdha11" 116731 "PCDHAC2" 56134
"70" "Pcdha1" "Pcdha10" 116731 "PCDHAC2" 56134
"71" "Pcdha1" "Pcdha1" 116731 "PCDHAC2" 56134
"72" "Pcdha1" "Pcdha9" 116731 "PCDHAC2" 56134
"73" "Pcdha1" "Pcdha12" 116731 "PCDHAC2" 56134
"74" "Pcdha1" "Pcdha2" 116731 "PCDHAC2" 56134
"75" "Pcdha1" "Pcdhac1" 116731 "PCDHAC2" 56134
"76" "Pcdha1" "Pcdhac2" 116731 "PCDHAC2" 56134
